"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"238","Nathan MacKinnon","COL","C","41","947.58333333333","14","52","30","22","66","75.86","156","8.97","13.93","290","209","151","33","6","25","25","7","5","1","1","13","70","13","22","32","37","355","385","47.97"
"268","Leon Draisaitl","EDM","C","39","826.43333333333","29","30","16","14","59","84.29","121","23.97","14.71","201","162","107","45","8","16","12","6","6","0","0","13","44","19","8","41","16","388","298","56.56"
"327","Mikko Rantanen","COL","R","41","918.73333333333","24","34","24","10","58","67.44","117","20.51","18.92","235","177","126","45","4","17","24","12","12","0","0","15","42","21","23","48","26","93","81","53.45"
"355","Mitch Marner","TOR","R","41","879.05","14","42","27","15","56","80.00","100","14.00","12.07","208","145","113","35","9","20","8","4","4","0","0","11","57","31","22","25","20","2","11","15.38"
"136","Nikita Kucherov","T.B","R","35","737.65","17","38","24","14","55","77.46","120","14.17","11.8","253","169","103","36","5","20","23","6","4","1","1","12","60","12","15","30","15","0","0","-"
"319","Connor McDavid","EDM","C","36","783.35","15","39","28","11","54","79.41","110","13.64","15.18","205","154","128","57","4","32","14","7","7","0","0","11","45","17","20","33","3","191","218","46.70"
"316","Kyle Connor","WPG","L","41","827.11666666667","22","30","20","10","52","73.24","136","16.18","14.27","246","178","129","34","4","26","17","7","6","1","0","12","42","15","5","22","20","0","7","0.00"
"320","Jack Eichel","VGK","C","39","813.08333333333","11","41","17","24","52","69.33","119","9.24","11.94","207","156","108","40","9","15","6","3","3","0","0","11","39","16","14","33","27","284","326","46.56"
"372","Kirill Kaprizov","MIN","L","34","768.96666666667","23","27","19","8","50","81.97","120","19.17","16.45","250","164","128","48","10","20","14","7","7","0","0","9","50","9","11","41","14","0","2","0.00"
"483","Cale Makar","COL","D","41","1047.6833333333","13","36","20","16","49","62.03","131","9.92","10.26","304","196","123","27","4","30","6","3","3","0","0","15","53","34","35","16","58","0","0","-"
"420","Jesper Bratt","N.J","L","43","796.9","14","34","18","16","48","76.19","95","14.74","16.4","200","152","117","48","4","21","14","6","6","0","0","7","24","4","45","31","23","0","3","0.00"
"599","Jack Hughes","N.J","C","43","884.96666666667","15","33","25","8","48","69.57","160","9.38","16.53","325","226","155","44","9","37","6","3","3","0","0","12","53","16","4","29","20","170","274","38.29"
